Region,ItemCode,BrandCode,Package,ShipQty,SalesQty,YearMonth,Year,Month,Quarter,HolidayDay,IsHoliday
East,2111256114,33,pack2,4340.6753,14091.454,2014-01,2014,1,1,2,1
East,2111256114,33,pack2,4580.5273,19698.484,2014-02,2014,2,1,6,1
East,2111256114,33,pack2,2007.392,2771.1514,2014-03,2014,3,1,1,1
East,2111256114,33,pack2,1651.4801,3096.1331,2014-04,2014,4,2,3,1
East,2111256114,33,pack2,6113.1191,26282.811,2014-05,2014,5,2,4,1
East,2111256114,33,pack2,896.073,2914.2102,2014-06,2014,6,2,2,1
East,2111256114,33,pack2,2039.29,2437.5806,2014-07,2014,7,3,0,0
East,2111256114,33,pack2,3485.6489,1089.5725,2014-08,2014,8,3,0,0
East,2111256114,33,pack2,3934.4241,3672.2534,2014-09,2014,9,3,3,1
East,2111256114,33,pack2,1193.252,6452.0303,2014-10,2014,10,4,7,1
East,2111256114,33,pack2,1030.9208,1346.2711,2014-11,2014,11,4,0,0
East,2111256114,33,pack2,1070.739,228.78549,2014-12,2014,12,4,0,0
East,2111256114,33,pack2,5821.3052,6184.1279,2015-01,2015,1,1,3,1
East,2111256114,33,pack2,3823.1511,1195.6881,2015-02,2015,2,1,7,1
East,2111256114,33,pack2,2858.009,5918.187,2015-03,2015,3,1,1,1
East,2111256114,33,pack2,2088.1804,1290.0452,2015-04,2015,4,2,3,1
East,2111256114,33,pack2,2362.2483,3680.6782,2015-05,2015,5,2,3,1
East,2111256114,33,pack2,2863.0854,1373.974,2015-06,2015,6,2,3,1
East,2111256114,33,pack2,2283.3494,623.52081,2015-07,2015,7,3,0,0
East,2111256114,33,pack2,4264.9448,563.15869,2015-08,2015,8,3,0,0
East,2111256114,33,pack2,3166.0281,3654.4502,2015-09,2015,9,3,2,1
East,2111256114,33,pack2,1042.2009,3215.3406,2015-10,2015,10,4,7,1
East,2111256114,33,pack2,2720.7363,5129.5005,2015-11,2015,11,4,0,0
East,2111256114,33,pack2,946.49548,1176.3036,2015-12,2015,12,4,0,0
East,2111256114,33,pack2,5109.2944,1432.9056,2016-01,2016,1,1,3,1
East,2111256114,33,pack2,2108.7263,896.12158,2016-02,2016,2,1,7,1
East,2111256114,33,pack2,2188.6829,1280.0184,2016-03,2016,3,1,1,1
East,2111256114,33,pack2,411.12833,1229.0768,2016-04,2016,4,2,4,1
East,2111256114,33,pack2,2541.8218,413.66425,2016-05,2016,5,2,2,1
